2026-04-11 10:15:08,051 [INFO] [chat] This is chat.py starting
[2026-04-11 10:15:08,056] INFO in app: App startup
[2026-04-11 10:15:08,098] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.0.0.46:5000
[2026-04-11 10:15:08,099] INFO in _internal: [33mPress CTRL+C to quit[0m
[2026-04-11 10:15:08,100] INFO in _internal:  * Restarting with stat
2026-04-11 10:15:11,387 [INFO] [chat] This is chat.py starting
[2026-04-11 10:15:11,389] INFO in app: App startup
[2026-04-11 10:15:11,405] WARNING in _internal:  * Debugger is active!
[2026-04-11 10:15:11,409] INFO in _internal:  * Debugger PIN: 870-570-930
[2026-04-11 10:17:15,061] INFO in app: 127.0.0.1 GET /
[2026-04-11 10:17:15,061] INFO in app: 127.0.0.1 GET /
[2026-04-11 10:17:15,074] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "GET / HTTP/1.1" 200 -
[2026-04-11 10:17:15,088] INFO in app: 127.0.0.1 GET /static/style.css
[2026-04-11 10:17:15,088] INFO in app: 127.0.0.1 GET /static/style.css
[2026-04-11 10:17:15,088] INFO in app: 127.0.0.1 GET /static/images/janeh.png
[2026-04-11 10:17:15,088] INFO in app: 127.0.0.1 GET /static/images/janeh.png
[2026-04-11 10:17:15,090] INFO in app: 127.0.0.1 GET /static/images/chatbox-icon.svg
[2026-04-11 10:17:15,090] INFO in app: 127.0.0.1 GET /static/images/chatbox-icon.svg
[2026-04-11 10:17:15,240] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/chatbox-icon.svg HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,241] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/janeh.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,247] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,284] INFO in app: 127.0.0.1 GET /static/script.js
[2026-04-11 10:17:15,284] INFO in app: 127.0.0.1 GET /static/script.js
[2026-04-11 10:17:15,286] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/script.js HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,287] INFO in app: 127.0.0.1 GET /static/app.js
[2026-04-11 10:17:15,287] INFO in app: 127.0.0.1 GET /static/app.js
[2026-04-11 10:17:15,289] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/app.js HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,290] INFO in app: 127.0.0.1 GET /static/images/1_old_excel_file.png
[2026-04-11 10:17:15,290] INFO in app: 127.0.0.1 GET /static/images/1_old_excel_file.png
[2026-04-11 10:17:15,292] INFO in app: 127.0.0.1 GET /static/images/2_entry_form.png
[2026-04-11 10:17:15,292] INFO in app: 127.0.0.1 GET /static/images/2_entry_form.png
[2026-04-11 10:17:15,293] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/1_old_excel_file.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,294] INFO in app: 127.0.0.1 GET /static/images/3_transfer_to_table.png
[2026-04-11 10:17:15,294] INFO in app: 127.0.0.1 GET /static/images/3_transfer_to_table.png
[2026-04-11 10:17:15,296] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/2_entry_form.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,296] INFO in app: 127.0.0.1 GET /static/projectAI.js
[2026-04-11 10:17:15,296] INFO in app: 127.0.0.1 GET /static/projectAI.js
[2026-04-11 10:17:15,299] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/3_transfer_to_table.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,299] INFO in app: 127.0.0.1 GET /static/theme.js
[2026-04-11 10:17:15,299] INFO in app: 127.0.0.1 GET /static/theme.js
[2026-04-11 10:17:15,301] INFO in app: 127.0.0.1 GET /static/images/4_form_to_array.png
[2026-04-11 10:17:15,300] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/projectAI.js HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,301] INFO in app: 127.0.0.1 GET /static/images/4_form_to_array.png
[2026-04-11 10:17:15,304] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/4_form_to_array.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,305] INFO in app: 127.0.0.1 GET /static/images/5_python_data_array.png
[2026-04-11 10:17:15,305] INFO in app: 127.0.0.1 GET /static/images/5_python_data_array.png
[2026-04-11 10:17:15,306] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/theme.js HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,308] INFO in app: 127.0.0.1 GET /static/images/6_python_program.png
[2026-04-11 10:17:15,308] INFO in app: 127.0.0.1 GET /static/images/6_python_program.png
[2026-04-11 10:17:15,310] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/5_python_data_array.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,312] INFO in app: 127.0.0.1 GET /static/images/7_prompt_template.png
[2026-04-11 10:17:15,312] INFO in app: 127.0.0.1 GET /static/images/7_prompt_template.png
[2026-04-11 10:17:15,313] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/6_python_program.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,316] INFO in app: 127.0.0.1 GET /static/images/8_AI_api.png
[2026-04-11 10:17:15,316] INFO in app: 127.0.0.1 GET /static/images/8_AI_api.png
[2026-04-11 10:17:15,317] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/7_prompt_template.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,318] INFO in app: 127.0.0.1 GET /static/images/9_save_to_text.png
[2026-04-11 10:17:15,318] INFO in app: 127.0.0.1 GET /static/images/9_save_to_text.png
[2026-04-11 10:17:15,320] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/8_AI_api.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,322] INFO in app: 127.0.0.1 GET /static/images/92_resume.png
[2026-04-11 10:17:15,322] INFO in app: 127.0.0.1 GET /static/images/92_resume.png
[2026-04-11 10:17:15,322] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/9_save_to_text.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,325] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/92_resume.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,335] INFO in app: 127.0.0.1 GET /static/images/10_word_macro.png
[2026-04-11 10:17:15,335] INFO in app: 127.0.0.1 GET /static/images/10_word_macro.png
[2026-04-11 10:17:15,337] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/10_word_macro.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,338] INFO in app: 127.0.0.1 GET /static/images/11_add_to_resume.png
[2026-04-11 10:17:15,338] INFO in app: 127.0.0.1 GET /static/images/11_add_to_resume.png
[2026-04-11 10:17:15,339] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/images/11_add_to_resume.png HTTP/1.1[0m" 304 -
[2026-04-11 10:17:15,350] INFO in app: 127.0.0.1 GET /static/jobs.json
[2026-04-11 10:17:15,350] INFO in app: 127.0.0.1 GET /static/jobs.json
[2026-04-11 10:17:15,352] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:15] "[36mGET /static/jobs.json HTTP/1.1[0m" 304 -
[2026-04-11 10:17:32,101] INFO in app: 127.0.0.1 POST /predict
[2026-04-11 10:17:32,101] INFO in app: 127.0.0.1 POST /predict
[2026-04-11 10:17:36,962] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:36] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[2026-04-11 10:17:41,698] INFO in app: 127.0.0.1 GET /static/style.css
[2026-04-11 10:17:41,698] INFO in app: 127.0.0.1 GET /static/style.css
[2026-04-11 10:17:41,700] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:41] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2026-04-11 10:17:41,712] INFO in app: 127.0.0.1 GET /.well-known/appspecific/com.chrome.devtools.json
[2026-04-11 10:17:41,712] INFO in app: 127.0.0.1 GET /.well-known/appspecific/com.chrome.devtools.json
[2026-04-11 10:17:41,713] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:17:41] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
[2026-04-11 10:28:43,168] INFO in _internal:  * Detected change in 'C:\\dev\\mds-website\\chat.py', reloading
[2026-04-11 10:28:43,804] INFO in _internal:  * Restarting with stat
2026-04-11 10:28:46,453 [INFO] [chat] This is chat.py starting
[2026-04-11 10:28:46,454] INFO in app: App startup
[2026-04-11 10:28:46,477] WARNING in _internal:  * Debugger is active!
[2026-04-11 10:28:46,481] INFO in _internal:  * Debugger PIN: 870-570-930
2026-04-11 10:29:13,031 [INFO] [chat] This is chat.py starting
[2026-04-11 10:29:13,033] INFO in app: App startup
[2026-04-11 10:29:13,057] INFO in _internal: [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.0.0.46:5000
[2026-04-11 10:29:13,058] INFO in _internal: [33mPress CTRL+C to quit[0m
[2026-04-11 10:29:13,058] INFO in _internal:  * Restarting with stat
2026-04-11 10:29:15,388 [INFO] [chat] This is chat.py starting
[2026-04-11 10:29:15,389] INFO in app: App startup
[2026-04-11 10:29:15,405] WARNING in _internal:  * Debugger is active!
[2026-04-11 10:29:15,408] INFO in _internal:  * Debugger PIN: 870-570-930
[2026-04-11 10:29:31,881] INFO in app: 127.0.0.1 GET /
[2026-04-11 10:29:31,881] INFO in app: 127.0.0.1 GET /
[2026-04-11 10:29:31,899] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:29:31] "GET / HTTP/1.1" 200 -
[2026-04-11 10:29:31,949] INFO in app: 127.0.0.1 GET /.well-known/appspecific/com.chrome.devtools.json
[2026-04-11 10:29:31,949] INFO in app: 127.0.0.1 GET /.well-known/appspecific/com.chrome.devtools.json
[2026-04-11 10:29:31,950] INFO in _internal: 127.0.0.1 - - [11/Apr/2026 10:29:31] "[33mGET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1[0m" 404 -
[2026-04-11 10:29:31,951] INFO in app: 127.0.0.1 GET /static/style.css
[2026-04-11 10:29:31,951] INFO in app: 127.0.0.1 GET /static/style.css
[2026-04-11 10:29:31,956] INFO in app: 127.0.0.1 GET /static/images/janeh.png
[2026-04-11 10:29:31,956] INFO in app: 127.0.0.1 GET /static/images/janeh.png
[2026-04-11 10:29:31,960] INFO in app: 127.0.0.1 GET /static/images/chatbox-icon.svg
[2026-04-11 10:29:31,960] INFO in app: 127.0.0.1 GET /static/images/chatbox-icon.svg
[2026-04-11 10:29:32,046] INFO in app: 127.0.0.1 GET /static/script.js
[2026-04-11 10:29:32,046] INFO in app: 127.0.0.1 GET /static/script.js
[2026-04-11 10:29:32,061] INFO in app: 127.0.0.1 GET /static/app.js
[2026-04-11 10:29:32,061] INFO in app: 127.0.0.1 GET /static/app.js
